GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,RCPTOT,PAYANN,PAYQTR1,EMP
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,"Sales ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12
0100000US,,United States,72,Accommodation and food services,2012,662489,708138598,196103341,47296658,12007689
0100000US,,United States,72,Accommodation and food services,2007,634361,613795732,170826847,41234525,11600751
0100000US,,United States,721,Accommodation,2012,63833,195858388,50120659,12070636,1950081
0100000US,,United States,721,Accommodation,2007,62740,180391205,46393287,11392704,1970661
0100000US,,United States,7211,Traveler accommodation,2012,54289,189672313,48683242,11811250,1897599
0100000US,,United States,7211,Traveler accommodation,2007,53103,175183663,45138911,11160723,1919638
0100000US,,United States,72111,Hotels (except casino hotels) and motels,2012,49543,134515151,34870559,8365855,1459494
0100000US,,United States,72111,Hotels (except casino hotels) and motels,2007,48108,122033327,31592733,7778836,1462464
0100000US,,United States,721110,Hotels (except casino hotels) and motels,2012,49543,134515151,34870559,8365855,1459494
0100000US,,United States,721110,Hotels (except casino hotels) and motels,2007,48108,122033327,31592733,7778836,1462464
0100000US,,United States,72112,Casino hotels,2012,358,53410351,13378596,3358432,414420
0100000US,,United States,72112,Casino hotels,2007,307,51558576,13162057,3300822,433606
0100000US,,United States,721120,Casino hotels,2012,358,53410351,13378596,3358432,414420
0100000US,,United States,721120,Casino hotels,2007,307,51558576,13162057,3300822,433606
0100000US,,United States,72119,Other traveler accommodation,2012,4388,1746811,434087,86963,23685
0100000US,,United States,72119,Other traveler accommodation,2007,4688,1591760,384121,81065,23568
0100000US,,United States,721191,Bed-and-breakfast inns,2012,3004,1044042,264022,53958,15740
0100000US,,United States,721191,Bed-and-breakfast inns,2007,3380,1044070,256755,55557,17357
0100000US,,United States,721199,All other traveler accommodation,2012,1384,702769,170065,33005,7945
0100000US,,United States,721199,All other traveler accommodation,2007,1308,547690,127366,25508,6211
0100000US,,United States,7212,RV (recreational vehicle) parks and recreational camps,2012,7414,4838704,1219751,204362,40561
0100000US,,United States,7212,RV (recreational vehicle) parks and recreational camps,2007,7420,4396300,1090655,190251,39939
0100000US,,United States,72121,RV (recreational vehicle) parks and recreational camps,2012,7414,4838704,1219751,204362,40561
0100000US,,United States,72121,RV (recreational vehicle) parks and recreational camps,2007,7420,4396300,1090655,190251,39939
0100000US,,United States,721211,RV (recreational vehicle) parks and campgrounds,2012,4422,2367002,495195,90023,19747
0100000US,,United States,721211,RV (recreational vehicle) parks and campgrounds,2007,4355,2201039,458946,85464,20079
0100000US,,United States,721214,Recreational and vacation camps (except campgrounds),2012,2992,2471702,724556,114339,20814
